,age_group_id,age_group_name,age_start,age_end
5,5,0 to 5,0.0,5.0
6,6,5 to 9,5.0,10.0
7,7,10 to 14,10.0,15.0
8,8,15 to 19,15.0,20.0
9,9,20 to 24,20.0,25.0
10,10,25 to 29,25.0,30.0
11,11,30 to 34,30.0,35.0
12,12,35 to 39,35.0,40.0
13,13,40 to 44,40.0,45.0
14,14,45 to 49,45.0,50.0
15,15,50 to 54,50.0,55.0
16,16,55 to 59,55.0,60.0
17,17,60 to 64,60.0,65.0
18,18,65 to 69,65.0,70.0
19,19,70 to 74,70.0,75.0
20,20,75 to 79,75.0,80.0
21,30,80 to 84,80.0,85.0
22,31,85 to 89,85.0,90.0
23,32,90 to 94,90.0,95.0
24,235,95 plus,95.0,125.0
